edge_id,source_type,source_id,target_type,target_id,edge_type,relation_label,evidence_status,confidence,weight,date_range,source_ids,case_id,risk_flags,notes,epistemic_role,adjudication_status
E075,actor,TELEGRAAF,actor,AL_MEZAN,MEDIA_AMPLIFICATION,ELSC states De Telegraaf published articles replicating NGO Monitor claims about Al Mezan,source_claim,medium_high,4,2020,S_ELSC_JOODS_TELEGRAAF_ALMEZAN,CASE_ALMEZAN_2020,defamation_sensitive;contested_claim,Media amplification claim,transmission_of_claim,unadjudicated_contested
E076,actor,PVV,actor,DUTCH_GOV,PARLIAMENTARY_QUESTION,ELSC states PVV submitted parliamentary questions repeating claims about Al Mezan,source_claim,medium_high,4,2020,S_ELSC_JOODS_TELEGRAAF_ALMEZAN,CASE_ALMEZAN_2020,defamation_sensitive;contested_claim,Requires official question record for hard-edge upgrade,transmission_of_claim,unadjudicated_contested
E077,actor,CIDI,actor,PVV,PUBLICATION_OF_PARLIAMENTARY_QUESTIONS,ELSC states CIDI publicised PVV questions citing De Telegraaf and NGO Monitor,source_claim,medium,3,2020,S_ELSC_JOODS_TELEGRAAF_ALMEZAN,CASE_ALMEZAN_2020,defamation_sensitive;contested_claim,Requires CIDI article archive for hard-edge upgrade,transmission_of_claim,unadjudicated_contested
E078,actor,NGO_MONITOR,actor,UAWC,TERROR_LINK_ALLEGATION,TRF/ELSC-related sources describe NGO Monitor reporting used against UAWC funding,source_claim,medium_high,5,2020-2022,S_RIGHTSFORUM_FREESPEECH_2021;S_ELSC_2021,CASE_UAWC_DEFUNDING,defamation_sensitive;contested_claim,Separate claim layer from any Dutch official investigation,allegation_origin,unadjudicated_contested
E079,actor,MSA_ISRAEL,actor,PALESTINIAN_NGOS,TRANSNATIONAL_DELEGITIMATION_CAMPAIGN,PCHR describes Israeli Ministry of Strategic Affairs campaigns against Palestinian civil society,source_claim,medium,3,2019-2020,S_PCHR_MSA_2020,,contested_claim;not_netherlands_specific,Transnational context edge only,transnational_context_source_claim,not_adjudicated
E080,actor,IAF_EU,actor,NETHERLANDS_OFFICE,ORGANIZATIONAL_FOOTPRINT,IAF Europe opened a European office in the Netherlands,self_disclosed,high,4,current,S_IAF_EU_NL_OFFICE,,none,Not direct lobbying edge by itself,organizational_self_disclosure,not_adjudicated
E081,actor,ECI,actor,EU_POLITICAL_LEADERS,EU_ADVOCACY,LobbyFacts says ECI informs MEPs and other political leaders on antisemitism/anti-Zionism and EU-Israel relations,registry_disclosure,medium_high,3,current,S_ECI_LOBBYFACTS,,none,EU-level edge; not direct Netherlands edge,lobby_register_disclosure,not_adjudicated
E082,article,ART_ELSC_2021,actor,CIDI,COUNTER_DOCUMENTATION,ELSC report identifies CIDI among Dutch Israel-advocacy actors,source_claim,medium,4,2021,S_ELSC_2021,,contested_claim,Article-level edge,evidence_of_public_relation,not_adjudicated
E083,article,ART_NOS_CESTMOCRO_2023,actor,CIDI,REPORTING,NOS reports CIDI legal complaint against CestMocro,verified_public_reporting,high,2,2023,S_NOS_CESTMOCRO_2023,CASE_CESTMOCRO_2023,none,Independent news report,evidence_of_public_relation,not_adjudicated
E084,article,ART_NOS_HU_CIDI_2024,actor,CIDI,REPORTING,NOS reports CIDI involvement in HU lecture series,verified_public_reporting,high,2,2024,S_NOS_HU_CIDI_2024,CASE_HU_CIDI_2024,none,Independent news report,evidence_of_public_relation,not_adjudicated
E085,article,ART_CIDI_CESTMOCRO_2023,actor,CESTMOCRO,LEGAL_COMPLAINT,CIDI press release announces complaint against CestMocro,self_disclosed,high,3,2023,S_CIDI_CESTMOCRO_2023,CASE_CESTMOCRO_2023,legal_claim,Primary source,evidence_of_public_relation,not_adjudicated
E086,article,ART_LIKOED_THIEME_2015,actor,THIEMEMEULENHOFF,CAMPAIGN_PRESSURE,Likoed campaign publication against schoolbook,verified_public_action,high,4,2015,S_LIKOED_THIEME_2015,CASE_SCHOOLBOOK_2015,none,Primary campaign source,evidence_of_public_relation,not_adjudicated
E087,parliamentary_item,PQ_RAJKOWSKI_NGO_2026,actor,DUTCH_GOV,PARLIAMENTARY_QUESTION,VVD Kamervragen over NGO Monitor/Oxfam allegations,official_record,high,4,2026,S_TK_NGOMONITOR_2026_VVD;S_TK_RAJKOWSKI_DETAIL_2026,CASE_NGO_OXFAM_2026,none,Official parliamentary record,evidence_of_public_relation,not_adjudicated
E088,parliamentary_item,PQ_MARKUSZOWER_NGO_2026,actor,DUTCH_GOV,PARLIAMENTARY_QUESTION,PVV Kamervragen over NGO Monitor/Oxfam allegations,official_record,high,4,2026,S_TK_NGOMONITOR_2026_MARKUSZOWER,CASE_NGO_OXFAM_2026,none,Official parliamentary record,evidence_of_public_relation,not_adjudicated
E089,parliamentary_item,GOV_RESPONSE_NGO_2026,actor,NGO_MONITOR,OFFICIAL_NONCONFIRMATION,Kabinet heeft geen informatie die NGO Monitor-aantijgingen ondersteunt,official_position,high,5,2026,S_TK_NGOMONITOR_2026_VVD;S_TK_NGOMONITOR_2026_MARKUSZOWER,CASE_NGO_OXFAM_2026,institutional_self_interest;potential_non_transparency,Overheidspositie is politiek standpunt; geen onafhankelijk onderzoek. Niet-bevestiging ≠ weerlegging.,political_position_not_investigation,unadjudicated_contested
E090,parliamentary_item,GOV_NGOMONITOR_UITSTEL_2025,actor,NGO_MONITOR,POLICY_INPUT,NGO Monitor rapport leidt tot kamerbrief,official_record,high,3,2025,S_RIJK_NGOMONITOR_2025,CASE_NGO_OXFAM_2026,none,Government workflow,evidence_of_public_relation,not_adjudicated
E091,claim,C1,actor,ELSC,TACTIC_DOCUMENTATION,ELSC identifies antisemitism-framing as suppression tactic,source_claim,high,5,2015-2020,S_ELSC_2021;S_ELSC_PRESS_2021,,contested_claim,Tactic pattern; not per-actor adjudication,tactic_pattern_documentation,not_adjudicated
E092,claim,C2,actor,NGO_MONITOR,ALLEGATION_ORIGIN,NGO Monitor terror-link allegations enter discourse,contested_claim,high,5,2025-2026,S_TK_NGOMONITOR_2026_VVD;S_TK_NGOMONITOR_2026_MARKUSZOWER,CASE_NGO_OXFAM_2026,defamation_sensitive,Transmission documented,allegation_origin,unadjudicated_contested
